"db","X_id","X_rev","value","timestamp","study_id","uid"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000053_p000016_y2008","1-44689a5f714ca9fdce9cda3ff1da7fd0","N","2018-12-28T15:40:00.441Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000054_p000048_y2008","1-0c95c9aabe9331972622aabb6443b55d","N","2018-12-28T15:40:01.433Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000055_p000048_y2017","1-5269df66e590b8e482a9b7a4a9714273","N","2018-12-28T15:40:02.354Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000056_p000023_y2008","1-55a6028c954f12f94cf24cd77f57ca43","T","2018-12-28T15:40:04.300Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000057_p000089_y2008","1-2e38d7038f745b083a3e48f4375ed89f","N","2018-12-28T15:40:05.705Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000058_p000038_y2017","1-d425fc558aa06bec4c1df45fa82185c6","U","2018-12-28T15:40:07.493Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000059_p000028_y2017","1-5a9edbf5950013450022b84cf101059d","T","2018-12-28T15:40:09.537Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000060_p000075_y2017","1-ba566d4feebd408e371412c60c4cd422","N","2018-12-28T15:40:11.217Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000061_p000040_y2008","1-e839d2cbcced75b8dc75750425a739e0","T","2018-12-28T15:40:13.657Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000062_p000007_y2017","1-162cb5095bd7ecdaecf03ef6051a5da1","T","2018-12-28T15:40:15.151Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000063_p000092_y2017","1-9235b3b003a12605c5603e6bd7464d6f","T","2018-12-28T15:40:20.097Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000064_p000073_y2017","1-28c225d1d32340b2cf31a9093f1f8e2b","U","2018-12-28T15:40:21.443Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000065_p000096_y2017","1-292c3ee60f330903fe56c62234ef89ff","T","2018-12-28T15:40:27.523Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000066_p000015_y2017","1-3ecb1d5e8ca243340810c50ebf44cce4","U","2018-12-28T15:40:29.161Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000067_p000078_y2017","1-fe5063fc93bf3c161ff82c6ab2fe16d5","T","2018-12-28T15:40:32.281Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000068_p000085_y2008","1-27e69b0c6d1ecccdce0166af9f9b5cba","T","2018-12-28T15:40:40.007Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000069_p000037_y2017","1-fd89a7683f4929cc54cde312e9c832a8","T","2018-12-28T15:40:40.984Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000070_p000080_y2008","1-9099bf97630c73745d28fd8d1513d47a","N","2018-12-28T15:40:44.521Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000071_p000054_y2017","1-2a8b43c53cfe36e01b87c62c7b60d531","T","2018-12-28T15:40:48.400Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000072_p000097_y2008","1-d1455af7e8a794511ecc853f17a8bb5f","N","2018-12-28T15:40:50.134Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000073_p000057_y2008","1-7f5b6afedcd9d6d3b574fffbce5169d0","T","2018-12-28T15:40:51.619Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000074_p000056_y2017","1-ffb223ea8c318dfd1d6328e57026956f","T","2018-12-28T15:40:53.115Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000075_p000071_y2008","1-76e836a49358a2814d3af1123db39f11","T","2018-12-28T15:40:54.084Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000076_p000006_y2008","1-545f3bec19fe0509452b494790723545","T","2018-12-28T15:40:56.714Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000077_p000099_y2017","1-d600b2f2aefd196feb49dd1f01e2cbd5","N","2018-12-28T15:40:58.223Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000078_p000087_y2008","1-c5c0c0181fd945fc2d148af21e30527b","N","2018-12-28T15:41:00.384Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000079_p000039_y2008","1-b40a34ef951b292fb1e71c87668e920e","T","2018-12-28T15:41:02.320Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000080_p000008_y2017","1-7b18524e27014c59d300484ab42df715","N","2018-12-28T15:41:03.550Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000081_p000078_y2008","1-b0816090c292f9427d85211920aa23ad","T","2018-12-28T15:41:05.323Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000082_p000095_y2017","1-618aa79460594ca31db8e1e0483dee6c","T","2018-12-28T15:41:06.324Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000083_p000036_y2017","1-ef98f9c7e1a6d31f724ad15450c9f2ac","T","2018-12-28T15:41:07.273Z",NA,"A"
"userdb-436172726965666c65746368657231407961686f6f2e636f6d","id00000084_p000065_y2008","1-a03df10e07ede381d38790acbe39e975","N","2018-12-28T15:41:08.923Z",NA,"A"
